               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.023402,            0.020394,            0.019519,              0.4871,             0.55645,             0.47302,              0.2839,            0.022848,            0.015986,            0.018703,            0.001981,            0.001981,            0.001981
                  83,            0.033104,            0.015301,            0.022086,             0.31668,             0.62598,             0.48735,             0.26368,            0.022014,            0.016173,              0.0186,            0.001882,            0.001882,            0.001882
                  84,            0.040689,            0.016191,            0.024579,             0.31668,             0.62598,             0.48735,             0.26368,            0.022014,            0.016173,              0.0186,            0.001783,            0.001783,            0.001783
                  85,            0.022876,            0.016144,             0.01978,             0.34055,             0.63728,             0.49261,             0.27785,            0.021669,            0.016239,             0.01852,            0.001684,            0.001684,            0.001684
                  86,            0.024621,            0.016627,             0.02662,             0.34055,             0.63728,             0.49261,             0.27785,            0.021669,            0.016239,             0.01852,            0.001585,            0.001585,            0.001585
                  87,            0.032067,            0.017179,            0.018697,             0.30999,             0.59331,             0.51043,             0.26037,             0.02111,            0.016322,            0.018268,            0.001486,            0.001486,            0.001486
                  88,            0.022285,            0.016464,            0.018865,             0.30999,             0.59331,             0.51043,             0.26037,             0.02111,            0.016322,            0.018268,            0.001387,            0.001387,            0.001387
                  89,            0.021828,            0.016791,            0.021429,             0.31214,             0.59021,             0.50085,              0.2722,            0.021047,            0.016256,            0.018081,            0.001288,            0.001288,            0.001288
                  90,            0.030512,            0.016163,            0.021196,             0.31214,             0.59021,             0.50085,              0.2722,            0.021047,            0.016256,            0.018081,            0.001189,            0.001189,            0.001189
                  91,            0.030717,            0.015931,            0.024812,             0.32027,             0.57478,             0.50764,             0.27535,            0.020993,            0.016131,             0.01773,             0.00109,             0.00109,             0.00109
                  92,            0.023416,            0.015037,            0.022389,             0.32027,             0.57478,             0.50764,             0.27535,            0.020993,            0.016131,             0.01773,            0.000991,            0.000991,            0.000991
                  93,            0.021395,            0.017402,            0.023747,             0.33068,             0.58634,             0.52913,             0.28848,            0.021011,            0.016282,            0.017744,            0.000892,            0.000892,            0.000892
                  94,            0.020696,            0.013789,            0.019373,             0.33068,             0.58634,             0.52913,             0.28848,            0.021011,            0.016282,            0.017744,            0.000793,            0.000793,            0.000793
                  95,            0.022634,            0.016149,            0.020535,             0.35036,             0.59251,             0.53378,             0.30392,            0.021344,             0.01628,            0.017781,            0.000694,            0.000694,            0.000694
                  96,            0.044581,            0.017498,            0.024882,             0.35036,             0.59251,             0.53378,             0.30392,            0.021344,             0.01628,            0.017781,            0.000595,            0.000595,            0.000595
                  97,            0.023184,            0.017666,            0.021577,             0.35257,             0.59004,             0.53965,             0.32674,            0.020972,            0.016346,            0.017793,            0.000496,            0.000496,            0.000496
                  98,            0.021977,            0.014644,            0.021158,             0.35257,             0.59004,             0.53965,             0.32674,            0.020972,            0.016346,            0.017793,            0.000397,            0.000397,            0.000397
                  99,            0.027856,            0.016268,            0.023239,             0.35982,             0.57346,             0.55347,             0.33803,            0.020445,            0.016381,            0.017587,            0.000298,            0.000298,            0.000298
